Scanning code references (one pass)...
Files: 2314
Code refs scanned.


=== USER (4 tables) ===
  agent_details_backup_20260531                      1 rows  Code:0
  alert_triggers                                     1 rows  Code:0
  app_store                                          1 rows  Code:0
  ar_vr_tours                                        1 rows  Code:0
  area_amenities                                     1 rows  Code:0
  automated_triggers                                 1 rows  Code:2
  automation_triggers                                1 rows  Code:0
  blocked_ips                                        1 rows  Code:15
  builder_details                                    1 rows  Code:0
  chatbot_fallback                                   1 rows  Code:0
  components                                         1 rows  Code:0
  crm_leads                                          1 rows  Code:0
  custom_features                                    1 rows  Code:0
  customer_summary                                   1 rows  Code:0
  data_stream_events                                 1 rows  Code:0
  files                                              1 rows  Code:21
  heatmap_data                                       1 rows  Code:0
  images                                             1 rows  Code:0
  import_jobs                                        1 rows  Code:0
  incomplete_registrations                           1 rows  Code:2
  interaction_routing                                1 rows  Code:1
  iot_device_events                                  1 rows  Code:0
  iot_devices                                        1 rows  Code:6
  jwt_blacklist                                      1 rows  Code:0
  khatabook_sales                                    1 rows  Code:10
  kissan_master                                      1 rows  Code:0
  layout_templates                                   1 rows  Code:0
  marketplace_apps                                   1 rows  Code:2
  mcp_data                                           1 rows  Code:0
  message_reactions                                  1 rows  Code:4
  migration_errors                                   1 rows  Code:0
