table,before_rows,before_code_refs,now_status,now_rows,note
salary_payments,3,12,SURVIVED,3,
user_wallets,3,8,SURVIVED,3,
emi_payments,1,9,SURVIVED,1,
payment_transactions,1,20,SURVIVED,1,
wallet_transactions,1,8,SURVIVED,1,
expenses,9,10,SURVIVED,9,
invoices,8,43,SURVIVED,8,
invoice_items,4,6,SURVIVED,4,
leads,203,321,SURVIVED,248,
lead_activities,102,25,SURVIVED,102,
lead_engagement_metrics,39,6,SURVIVED,39,
lead_tags,34,6,SURVIVED,34,
lead_notes,30,5,SURVIVED,30,
lead_sources,11,14,SURVIVED,11,
lead_pipeline,10,11,SURVIVED,10,
lead_scores,10,10,SURVIVED,10,
lead_statuses,9,9,SURVIVED,9,
lead_deals,4,8,SURVIVED,4,
lead_scoring,3,21,SURVIVED,3,
pipeline_stages,7,7,SURVIVED,7,
sales_pipeline_stages,7,7,SURVIVED,7,
deals,3,44,SURVIVED,3,
mlm_commission_ledger,84,71,SURVIVED,84,
commissions,9,60,SURVIVED,9,
mlm_commissions,8,15,SURVIVED,8,
mlm_commission_levels,7,4,SURVIVED,7,survived-lowrefs
mlm_commission_plans,5,10,SURVIVED,5,
mlm_payouts,5,6,SURVIVED,5,
payouts,5,3,SURVIVED,5,survived-lowrefs
commission_payouts,3,18,SURVIVED,3,
mlm_profiles,14,67,SURVIVED,14,
mlm_levels,10,9,SURVIVED,10,
network_tree,9,45,SURVIVED,9,
mlm_network_tree,8,28,SURVIVED,8,
mlm_associates,7,19,SURVIVED,7,
referrals,6,4,SURVIVED,6,survived-lowrefs
points_rules,5980,3,SURVIVED,210,survived-lowrefs
rewards_catalog,5361,12,SURVIVED,5766,
reward_redemptions,3,6,SURVIVED,0,
loyalty_points,1,11,SURVIVED,1,
notifications,52,68,SURVIVED,71,
notification_queue,12,6,SURVIVED,12,
whatsapp_templates,4,9,SURVIVED,4,
email_queue,3,19,SURVIVED,3,
notifications_unified,3,33,SURVIVED,3,
sms_queue,3,8,SURVIVED,3,
whatsapp_messages,3,16,SURVIVED,3,
ai_knowledge_base,31,11,SURVIVED,31,
ai_conversations,27,10,SURVIVED,27,
ai_agents,7,9,SURVIVED,7,
ai_call_extracted_leads,3,16,SURVIVED,3,
ai_call_sessions,3,32,SURVIVED,3,
ai_calling_agents,3,32,SURVIVED,3,
ai_calling_schedule,3,42,SURVIVED,3,
chat_messages,3,9,SURVIVED,3,
ai_chatbot_interactions,1,9,SURVIVED,1,
ai_settings,1,10,SURVIVED,1,
call_logs,1,11,SURVIVED,1,
departments,8,17,SURVIVED,8,
team_members,8,8,SURVIVED,8,
job_applications,3,32,SURVIVED,3,
team,3,16,SURVIVED,3,
employee_attendance,10,19,SURVIVED,10,
employee_leave_balances,7,5,SURVIVED,7,
leave_types,7,13,SURVIVED,7,
shift_types,5,30,SURVIVED,5,
employee_leaves,3,19,SURVIVED,3,
employee_payroll,3,10,SURVIVED,3,
employee_salary_structure,3,14,SURVIVED,4,
employee_shifts,3,28,SURVIVED,3,
payroll_runs,3,6,SURVIVED,3,
salary_tracker,2,11,SURVIVED,2,
ad_slots,3,9,SURVIVED,3,
campaigns,3,22,SURVIVED,3,
marketing_leads,3,22,SURVIVED,3,
newsletter_subscribers,10,5,SURVIVED,10,
testimonials,10,14,SURVIVED,10,
faqs,6,8,SURVIVED,6,
blog_posts,5,7,SURVIVED,5,
news,5,25,SURVIVED,5,
performance_reviews,3,7,SURVIVED,3,
legal_pages,2,8,SURVIVED,2,
document_gallery,8,4,SURVIVED,8,survived-lowrefs
gallery,5,7,SURVIVED,5,
media,3,57,SURVIVED,3,
media_library,1,33,SURVIVED,1,
support_tickets,6,22,SURVIVED,6,
districts,63,76,SURVIVED,63,
states,16,79,SURVIVED,16,
real_estate_properties,5,7,SURVIVED,5,
projects,2,63,SURVIVED,2,
farmers,9,30,SURVIVED,9,
farmer_agreements,3,15,SURVIVED,3,
farmer_loans,3,16,SURVIVED,3,
land_acquisitions,3,18,SURVIVED,3,
land_purchases,3,6,SURVIVED,3,
land_records,3,21,SURVIVED,3,
farmer_land_holdings,2,26,SURVIVED,2,
farmer_profiles,2,25,SURVIVED,2,
audit_log,28,17,SURVIVED,28,
